N;Код ПЛ;Вид ПЛ;ПЛ текущий;Код ПЛ Новый;Вид ПЛ новый;ПЛ новый;Код;Контрагент;Работаем с даты:;Головной контрагент;Система ЭД;Регион;Зона региона;Скидка;Менеджер;Макс РЕГ;Тип контрагента;Отсрочка;Ценообразование на отсрочку;Ценообразование на отсрочку рассч;Коэфф;Сумма2013;ЧН 2013;Сумма2014;ЧН 2014;Сумма2015;ЧН 2015;Сумма2016;ЧН 2016;Сумма2017;ЧН 2017;Вид доставки;Оплачивает ПМ;Возмещение;Перевозчик;Количество контрагентов;Аукцион БП 2013;Аукцион БП 2014;Аукцион БП 2015;Аукцион БП 2016;Аукцион БП 2017;Регион код;Аукцион 2013;Аукцион 2014;Аукцион 2015;Аукцион 2016;Аукцион 2017;БП 2013;БП 2014;БП 2015;БП 2016;БП 2017
1 670;000055;ГосЛПУ;Москва_БП_100%;;;;08577;Центральная клиническая больница восстановительного лечения Федерального медико-биологического агентства ФГБУЗ д. Голубое;16.01.2017;Центральная клиническая больница восстановительного лечения Федерального медико-биологического агентства ФГБУЗ д. Голубое;;Москва;;0,150;Таран М.А.;100;ЛПУ;28;1,70;1,84;;;;;;;;;;419 837,74;58 900,46;АВТО;ложь ;;;1;;;;;40 763,55;000000457;;;;;40 763,55;;;;;
1 671;000055;ГосЛПУ;Москва_БП_100%;;;;09459;Инфекционная клиническая больница №1 ГБУЗ г.Москва;11.09.2015;Инфекционная клиническая больница №1 ГБУЗ г.Москва;;Москва;;;Зелинская Н.И.;;ЛПУ;;;;;;;;;678,55;97,27;1 471,95;443,77;1 446,11;434,72;АВТО;ложь ;;;1;;;678,55;1 471,95;1 446,11;000000457;;;678,55;1 471,95;;;;;;1 446,11
1 672;000055;ГосЛПУ;Москва_БП_100%;;;;08592;ПНИ №5 п. Филимонки;31.12.2013;ПНИ №5 п. Филимонки;;Москва;;0,150;Шкатова В.В;50;ЛПУ;14;0,80;0,92;;;;1 795 793,14;416 858,17;;;;;;;АВТО;ложь ;;;1;;1 795 793,14;;;;000000457;;;;;;;1 795 793,14;;;
1 673;000055;ГосЛПУ;Москва_БП_100%;;;;05092;НПЦ КАРДИОАНГИОЛОГИИ ДЗМ;18.02.2010;НПЦ КАРДИОАНГИОЛОГИИ ДЗМ;;Москва;;;Носова Е.А.;100;ЛПУ;30;1,80;1,97;;;;;;167 619,12;8 828,90;19 343,26;2 760,76;;;АВТО;ложь ;;;1;;;167 619,12;19 343,26;;000000457;;;105 419,53;17 409,17;;;;62 199,59;1 934,09;
1 674;000055;ГосЛПУ;Москва_БП_100%;;;;09235;Центральная поликлиника ФТС России ГКУ;13.04.2015;Центральная поликлиника ФТС России ГКУ;;Москва;;0,200;Александров А.А.;50;ЛПУ;21;1,30;1,38;;;;;;219 019,28;57 795,68;555 914,42;118 538,91;212 582,41;41 265,01;АВТО;истина ;;Парма Медикал;1;;;216 292,08;555 914,42;212 582,41;000000457;;;;;;;;216 292,08;555 914,42;212 582,41
1 675;000055;ГосЛПУ;Москва_БП_100%;;;;07387;ПНИ №23 ГБУ;05.07.2012;ПНИ №23 ГБУ;;Москва;;;Носова Е.А.;100;Опт;14;0,80;0,92;;704 883,58;120 831,56;834 220,80;142 747,08;813 874,18;182 358,90;90 786,71;16 753,55;;;АВТО;истина ;;Парма Медикал;1;;779 105,79;813 874,18;;;000000457;;779 105,79;813 874,18;;;;;;;
1 676;000055;ГосЛПУ;Москва_БП_100%;;;;07710;Дирекция по обеспечению деятельности государственных учреждений здравоохранения ЮАО ГКУ г.Москвы;02.12.2012;Дирекция по обеспечению деятельности государственных учреждений здравоохранения ЮАО ГКУ г.Москвы;;Москва;;;Никитина С.Ю.;50;ЛПУ;120;13,00;7,89;;753 658,99;348 619,54;934 704,64;431 991,20;;;;;;;Поставщик;истина ;;;1;753 658,99;934 704,64;;;;000000457;;;;;;753 658,99;934 704,64;;;
1 677;000055;ГосЛПУ;Москва_БП_100%;;;;09234;ГП № 218 Департамента здравоохранения города Москвы;07.04.2015;ГП № 218 Департамента здравоохранения города Москвы;;Москва;;0,150;Назаренко Д.В.;100;ЛПУ;30;1,80;1,97;;;;;;1 873 633,96;511 148,45;;;;;АВТО;ложь ;;Парма Медикал;1;;;;;;000000457;;;;;;;;;;
1 678;000055;ГосЛПУ;Москва_БП_100%;;;;07394;ПНИ №26 ГБУ г. Москва;20.08.2012;ПНИ №26 ГБУ г. Москва;;Москва;;;Носова Е.А.;100;ЛПУ;;;;;829 037,77;164 720,54;;;;;;;;;АВТО;истина ;;Парма Медикал;1;;;;;;000000457;;;;;;;;;;
1 679;000055;ГосЛПУ;Москва_БП_100%;;;;08474;Социально-реабилитационный центр ветеранов войн  и Вооруженных Сил ГБУ ДСЗН г.Москвы;31.10.2013;Социально-реабилитационный центр ветеранов войн  и Вооруженных Сил ГБУ ДСЗН г.Москвы;;Москва;;;Носова Е.А.;100;Медицинский центр;30;1,80;1,97;;315 173,37;67 589,31;74 445,51;25 677,71;;;;;;;АВТО;ложь ;;Парма Медикал;1;;;;;;000000457;;;;;;;;;;
1 680;000055;ГосЛПУ;Москва_БП_100%;;;;08240;РНИМУ им. Н.И. Пирогова Минздрава России ГБОУ ВПО;01.08.2013;РНИМУ им. Н.И. Пирогова Минздрава России ГБОУ ВПО;;Москва;;;Назаренко Д.В.;100;ЛПУ;14;0,80;0,92;;378 279,47;52 891,99;;;68 570,45;6 469,26;;;;;АВТО;истина ;;Парма Медикал;1;364 843,47;;63 732,48;;;000000457;364 843,47;;63 732,48;;;;;;;
1 681;000055;ГосЛПУ;Москва_БП_100%;;;;09034;ГП №5, г. Москва;08.12.2014;ГП №5, г. Москва;;Москва;;0,200;Котов Н.А.;100;ЛПУ;60;3,60;3,95;;;;;;2 646 028,15;1 547 154,33;3 534 929,82;1 487 572,69;89 090,91;21 408,55;АВТО;ложь ;;Парма Медикал;1;;;2 646 028,15;3 534 929,82;55 000,00;000000457;;;2 502 203,61;3 534 929,82;55 000,00;;;143 824,54;;
1 682;000055;ГосЛПУ;Москва_БП_100%;;;;07400;Дирекция по обеспечению деятельности государственных учреждений здравоохранения САО ГКУ г. Москва;11.09.2012;Дирекция по обеспечению деятельности государственных учреждений здравоохранения САО ГКУ г. Москва;;Москва;;;Носова Е.А.;50;Опт;30;1,80;1,97;;224 441,00;47 033,96;831 783,72;172 574,86;;;;;;;АВТО;ложь ;;Парма Медикал;1;224 441,00;831 783,72;;;;000000457;;;;;;224 441,00;831 783,72;;;
1 683;000055;ГосЛПУ;Москва_БП_100%;;;;08619;ГКБ №54 ГБУЗ города Москвы;10.01.2014;ГКБ №54 ГБУЗ города Москвы;;Москва;;;Никитина С.Ю.;100;ЛПУ;30;1,80;1,97;;;;7 437,27;1 725,27;;;;;;;АВТО;ложь ;;Парма Медикал;1;;7 437,27;;;;000000457;;7 437,27;;;;;;;;
1 684;000055;ГосЛПУ;Москва_БП_100%;;;;08535;ГКБ №11 ДЗ  г Москвы ГБУЗ г Москвы;15.10.2013;ГКБ №11 ДЗ  г Москвы ГБУЗ г Москвы;;Москва;;;Носова Е.А.;50;ЛПУ;;;;;74 608,98;8 721,58;;;;;;;;;АВТО;истина ;;Парма Медикал;1;21 939,28;;;;;000000457;;;;;;21 939,28;;;;
1 685;000055;ГосЛПУ;Москва_БП_100%;;;;08909;Московский государственный медико-стоматологический университет имени А.И.Евдокимова ГБОУ ВПО Минздрава России г.Москва;19.09.2014;Московский государственный медико-стоматологический университет имени А.И.Евдокимова ГБОУ ВПО Минздрава России г.Москва;;Москва;;;Носова Е.А.;100;Аптека;14;0,80;0,92;;;;430 974,36;67 940,33;;;;;;; -;ложь ;;Парма Медикал;1;;430 974,36;;;;000000457;;430 974,36;;;;;;;;
1 686;000056;Оптовики;НижнийН_ОПТ;;;;05261;Магистра ООО г. Н.Новгород;10.04.2009;Магистра ООО г. Н.Новгород;;Нижегородская область;;;Никитина С.Ю.;60;Опт;;;;;43 537,80;2 251,13;103 653,93;5 967,87;185 394,81;17 556,87;107 381,99;9 307,19;27 040,61;1 342,84; -;ложь ;;Деловые Линии ООО;1;;;;;;000000166;;;;;;;;;;
1 687;000057;ГосЛПУ;НижнийН_БП;;;;09755;Варнавинский ПНИ ГБУ;12.04.2016;Варнавинский ПНИ ГБУ;;Нижегородская область;;;Шкатова В.В;50;ЛПУ;14;0,80;0,92;;;;;;;;369 528,60;100 197,19;;;АВТО;истина ;;ПЭК ООО;1;;;;369 528,60;;000000166;;;;;;;;;369 528,60;
1 688;000057;ГосЛПУ;НижнийН_БП;;;;09540;Арзамасский ДДИ ГБУ;10.11.2015;Арзамасский ДДИ ГБУ;;Нижегородская область;;;Зелинская Н.И.;50;ЛПУ;28;1,70;1,84;;;;;;52 083,20;4 755,10;;;;;АВТО;истина ;;ПЭК ООО;1;;;52 083,20;;;000000166;;;;;;;;52 083,20;;
1 689;000057;ГосЛПУ;НижнийН_БП;;;;08749;Бутурлинский ПНИ ГБУ;06.06.2014;Бутурлинский ПНИ ГБУ;;Нижегородская область;;;Александров А.А.;100;ЛПУ;30;1,80;1,97;;;;198 990,34;17 731,04;414 007,58;109 057,34;;;;;АВТО;истина ;;ПЭК ВОСТОК ООО ( не использовать);1;;198 990,34;414 007,58;;;000000166;;;;;;;198 990,34;414 007,58;;
1 690;000057;ГосЛПУ;НижнийН_БП;;;;09015;Городецкий ПНИ  ГБУ;02.12.2014;Городецкий ПНИ  ГБУ;;Нижегородская область;;;Александров А.А.;50;ЛПУ;30;1,80;1,97;;;;173 837,47;-203,73;1 729 156,04;187 007,16;;;;;АВТО;истина ;;Деловые Линии ООО;1;;173 837,47;1 729 156,04;;;000000166;;;;;;;173 837,47;1 729 156,04;;
1 691;000057;ГосЛПУ;НижнийН_БП;;;;09944;Решетихинский  психоневрологический интернат ГБУ;07.11.2016;Решетихинский  психоневрологический интернат ГБУ;;Нижегородская область;;;Александров А.А.;50;ЛПУ;21;1,30;1,38;;;;;;;;112 364,80;20 137,02;;;АВТО;истина ;;Деловые Линии ООО;1;;;;112 364,80;;000000166;;;;;;;;;112 364,80;
1 692;000057;ГосЛПУ;НижнийН_БП;;;;08690;Автозаводский ПНИ ГБУ  г.Нижний Новгород;07.04.2014;Автозаводский ПНИ ГБУ  г.Нижний Новгород;;Нижегородская область;;;Зелинская Н.И.;;ЛПУ;21;1,30;1,38;;;;499 546,44;17 386,25;232 239,97;30 225,29;726 483,68;86 850,82;590 409,09;39 449,08;АВТО;истина ;;ПЭК ВОСТОК ООО ( не использовать);1;;499 546,44;232 239,97;635 827,40;590 409,09;000000166;;;;;;;499 546,44;232 239,97;635 827,40;590 409,09
1 693;000057;ГосЛПУ;НижнийН_БП;;;;09058;Понетаевский ПНИ ГБУ;22.12.2014;Понетаевский ПНИ ГБУ;;Нижегородская область;;;Александров А.А.;50;ЛПУ;10;0,60;0,66;;;;;;1 585 988,85;137 000,40;2 099 577,41;548 208,94;703 201,58;289 937,83;АВТО;истина ;;Деловые Линии ООО;1;;;1 362 584,05;2 099 577,41;703 201,58;000000166;;;;;;;;1 362 584,05;2 099 577,41;703 201,58
1 694;000057;ГосЛПУ;НижнийН_БП;;;;08744;Борский психоневрологический интернат ГБУ Нижегородской области;28.05.2014;Борский психоневрологический интернат ГБУ Нижегородской области;;Нижегородская область;;;Шкатова В.В;100;ЛПУ;14;0,80;0,92;;;;261 827,47;19 224,95;1 076 309,22;255 606,47;453 651,15;-26 596,73;665 314,85;17 811,85;АВТО;истина ;;Деловые Линии ООО;1;;261 827,47;1 076 309,22;453 651,15;665 314,85;000000166;;;;;;;261 827,47;1 076 309,22;453 651,15;665 314,85
1 695;000057;ГосЛПУ;НижнийН_БП;;;;10114;Кузьмиярский психоневрологический интернат ГБУ;;Кузьмиярский психоневрологический интернат ГБУ;;п.Кузьмияр;;;Александров А.А.;50;;;;;;;;;;;;;;;;;ложь ;;;;;;;;;;;;;;;;;;;
1 696;000058;Опт + Розница;Новосибирск_60;;;;03875;Фармация ОАО г. Новосибирск;01.01.2008;Фармация ОАО г. Новосибирск;;Новосибирская область;;;Никитина С.Ю.;65;Опт;60;3,60;3,95;;11 079 520,69;1 415 184,12;10 673 393,24;1 588 631,94;15 298 291,30;2 033 180,47;33 429 196,78;3 812 353,37;6 502 338,48;877 954,24;ЖД;ложь ;;ЖелдорАльянс Транспортная компания ООО;1;;;;33 075,68;;000000181;;;;33 075,68;;;;;;
1 697;000059;ГосЛПУ;Новосибирск_БП;;;;09207;НОДКПНД НСО ГБУЗ Новосибирск;27.03.2015;НОДКПНД НСО ГБУЗ Новосибирск;;Новосибирская область;;;Шкатова В.В;50;ЛПУ;40;2,40;2,63;;;;;;226 471,97;61 278,25;;;;;АВТО;истина ;;ПЭК ВОСТОК ООО ( не использовать);1;;;226 471,97;;;000000181;;;226 330,43;;;;;141,54;;
1 698;000059;ГосЛПУ;Новосибирск_БП;;;;07125;Министерство здравоохранения Новосибирской области;10.11.2012;Министерство здравоохранения Новосибирской области;;Новосибирская область;;;Зелинская Н.И.;50;Опт;120;13,00;7,89;;193 411,30;31 186,88;;;;;;;;;АВИА;истина ;;Аэросибсервис;1;193 411,30;;;;;000000181;;;;;;193 411,30;;;;
1 699;000059;ГосЛПУ;Новосибирск_БП;;;;07852;Городская клиническая больница №1 ГБУЗ НСО;12.02.2013;Городская клиническая больница №1 ГБУЗ НСО;;Новосибирская область;;;Шкатова В.В;50;ЛПУ;30;1,80;1,97;;647 722,01;54 645,32;;;;;;;;;ЖД;истина ;;;1;647 722,01;;;;;000000181;;;;;;647 722,01;;;;
1 700;000059;ГосЛПУ;Новосибирск_БП;;;;08785;Куйбышевская центральная районная больница;09.07.2014;Куйбышевская центральная районная больница;;Новосибирская область;;;Носова Е.А.;100;ЛПУ;30;1,80;1,97;;;;277 106,54;92 711,63;;;;;;;АВТО;истина ;;ПЭК ВОСТОК ООО ( не использовать);1;;277 106,54;;;;000000181;;;;;;;277 106,54;;;
1 701;000059;ГосЛПУ;Новосибирск_БП;;;;09166;Городская поликлиника №21 ГБУЗ, Новосибирск;26.05.2015;Городская поликлиника №21 ГБУЗ, Новосибирск;;Новосибирская область;;;Шкатова В.В;100;ЛПУ;90;7,40;5,92;;;;;;87 013,10;34 365,25;;;;;АВТО;истина ;;ПЭК ООО;1;;;87 013,10;;;000000181;;;;;;;;87 013,10;;
1 702;000059;ГосЛПУ;Новосибирск_БП;;;;09144;Черепановская центральная районная больница Новосибирской области;02.03.2015;Черепановская центральная районная больница Новосибирской области;;Новосибирская область;;;Шкатова В.В;100;ЛПУ;45;2,70;2,96;;;;;;261 882,41;19 909,25;;;;;АВТО;истина ;;ПЭК ВОСТОК ООО ( не использовать);1;;;261 882,41;;;000000181;;;;;;;;261 882,41;;
1 703;000059;ГосЛПУ;Новосибирск_БП;;;;09371;"ГБУЗ НСО «ГНОКБ""";;"ГБУЗ НСО «ГНОКБ""";;Новосибирск;;;Носова Е.А.;;;;;;;;;;;;;;;;;;ложь ;;;;;;;;;;;;;;;;;;;
1 704;000059;ГосЛПУ;Новосибирск_БП;;;;10052;ДГКБ №3 ГБУЗ НО;;ДГКБ №3 ГБУЗ НО;;Новосибирск;;;;;;;;;;;;;;;;;;;;;ложь ;;;;;;;;;;;;;;;;;;;
1 705;000059;ГосЛПУ;Новосибирск_БП;;;;10138;Городская клиническая больница № 11 ГБУЗ НСО;;Городская клиническая больница № 11 ГБУЗ НСО;;Новосибирск;;;Никитина С.Ю.;100;;;;;;;;;;;;;;;;;ложь ;;;;;;;;;;;;;;;;;;;
1 706;000059;ГосЛПУ;Новосибирск_БП;;;;09885;Медико-санитарная часть № 54 Федеральной службы исполнения наказаний ФКУЗ;;Медико-санитарная часть № 54 Федеральной службы исполнения наказаний ФКУЗ;;Новосибирск;;;Носова Е.А.;80;;;;;;;;;;;;;;;;;ложь ;;;;;;;;;;;;;;;;;;;
1 707;000059;ГосЛПУ;Новосибирск_БП;;;;10008;Городская клиническая поликлиника № 22 ГБУЗ НСО;;Городская клиническая поликлиника № 22 ГБУЗ НСО;;Новосибирск;;;Кузьмиров В.Е.;70;;;;;;;;;;;;;;;;;ложь ;;;;;;;;;;;;;;;;;;;
1 708;000059;ГосЛПУ;Новосибирск_БП;;;;09377;Государственная Новосибирская областная психиатрическая больница № 5 ГБУЗ НСО;;Государственная Новосибирская областная психиатрическая больница № 5 ГБУЗ НСО;;Новосибирск;;;Носова Е.А.;100;;;;;;;;;;;;;;;;;ложь ;;;;;;;;;;;;;;;;;;;
1 709;000060;ГосЛПУ;Омск_БП;;;;10015;Западно-Сибирский медицинский центр Федерального медико-биологического агентства г. Омск;;Западно-Сибирский медицинский центр Федерального медико-биологического агентства г. Омск;;Омск;;;Назаренко Д.В.;;;;;;;;;;;;;;;;;;ложь ;;;;;;;;;;;;;;;;;;;
1 710;000060;ГосЛПУ;Омск_БП;;;;08213;ГКБСМП №1 БУЗОО;09.07.2013;ГКБСМП №1 БУЗОО;;Омская область;;;Шкатова В.В;50;ЛПУ;;;;;199 151,88;52 491,56;;;;;;;;;АВТО;истина ;;ПЭК ВОСТОК ООО ( не использовать);1;199 151,88;;;;;000000191;;;;;;199 151,88;;;;
1 711;000060;ГосЛПУ;Омск_БП;;;;07630;Наркологический диспансер Омской области;26.02.2015;Наркологический диспансер Омской области;;Омская область;;;Зелинская Н.И.;50;ЛПУ;30;1,80;1,97;;;;;;581 099,49;43 185,55;;;;;АВТО;истина ;;ПЭК ВОСТОК ООО ( не использовать);1;;;581 099,49;;;000000191;;;;;;;;581 099,49;;
1 712;000060;ГосЛПУ;Омск_БП;;;;09237;КПБ имени Н.Н.Солодникова БУЗОО;17.04.2015;КПБ имени Н.Н.Солодникова БУЗОО;;Омская область;;;Александров А.А.;50;ЛПУ;45;2,70;2,96;;;;;;3 243 614,55;162 386,52;2 271 884,86;141 391,47;;;АВТО;истина ;;Деловые Линии ООО;1;;;3 243 614,55;2 271 884,86;;000000191;;;;;;;;3 243 614,55;2 271 884,86;
1 713;000060;ГосЛПУ;Омск_БП;;;;08916;Городская клиническая больница № 1 имени Кабанова А. Н, г. Омск;22.09.2014;Городская клиническая больница № 1 имени Кабанова А. Н, г. Омск;;Омская область;;;Зелинская Н.И.;100;ЛПУ;30;1,80;1,97;;;;150 476,62;-841,50;9 182,37;-2 731,71;;;;;АВИА;истина ;;АВИА-ПАРТНЕР ООО;1;;150 476,62;9 182,37;;;000000191;;;;;;;150 476,62;9 182,37;;
1 714;000060;ГосЛПУ;Омск_БП;;;;08156;Андреевский ПНИ БСУСО Омской обл.;24.06.2013;Андреевский ПНИ БСУСО Омской обл.;;Омская область;;;Шкатова В.В;100;ЛПУ;30;1,80;1,97;;833 618,77;55 521,97;;;;;;;;;АВТО;истина ;;ПЭК ВОСТОК ООО ( не использовать);1;833 618,77;;;;;000000191;;;;;;833 618,77;;;;
1 715;000060;ГосЛПУ;Омск_БП;;;;07785;Министерство здравоохранения Омской области;30.07.2015;Министерство здравоохранения Омской области;;Омская область;;;Александров А.А.;50;ЛПУ;40;2,40;2,63;;;;;;2 091 892,50;260 121,88;;;;;ЖД;истина ;;Желдорэкспедиция-ООО;1;;;2 091 892,50;;;000000191;;;;;;;;2 091 892,50;;
1 716;000060;ГосЛПУ;Омск_БП;;;;09050;Туберкулезная больница КУЗОО Омск;12.12.2014;Туберкулезная больница КУЗОО Омск;;Омская область;;;Носова Е.А.;50;ЛПУ;60;3,60;3,95;;;;274 632,84;44 329,76;;;;;;;АВТО;истина ;;ПЭК ВОСТОК ООО ( не использовать);1;;274 632,84;;;;000000191;;;;;;;274 632,84;;;
1 717;000060;ГосЛПУ;Омск_БП;;;;09112;Городская клиническая больница скорой медицинской помощи № 1, г. Омск;04.02.2015;Городская клиническая больница скорой медицинской помощи № 1, г. Омск;;Омская область;;;Шкатова В.В;100;ЛПУ;120;13,00;7,89;;;;;;740 508,19;-42 439,97;;;;;ЖД;истина ;;Желдорэкспедиция-ООО;1;;;740 508,19;;;000000191;;;;;;;;740 508,19;;
1 718;000060;ГосЛПУ;Омск_БП;;;;07967;ОДКБ БУЗ ОО г. Омск;04.03.2013;ОДКБ БУЗ ОО г. Омск;;Омская область;;;Носова Е.А.;50;ЛПУ;90;7,40;5,92;;264 589,49;66 286,28;;;;;;;;;ЖД;истина ;;Желдорэкспедиция-ООО;1;264 589,49;;;;;000000191;;;;;;264 589,49;;;;
1 719;000061;ГосЛПУ;Орел_БП;;;;10155;Орловский онкологический диспансер БУЗ Орловской области;24.04.2017;Орловский онкологический диспансер БУЗ Орловской области;;Орловская область;;;Зелинская Н.И.;50;ЛПУ;60;3,60;3,95;;;;;;;;;;5 055 976,44;266 010,36;АВТО;истина ;;Парма Медикал;1;;;;;5 055 976,44;000000274;;;;;;;;;;5 055 976,44
1 720;000061;ГосЛПУ;Орел_БП;;;;10264;Ливенская ЦРБ;26.07.2017;Ливенская ЦРБ;;Орловская область;;;Кручинкина А.И.;50;ЛПУ;;;;;;;;;;;;;15 799,85;1 436,33;АВТО;ложь ;;* САМОВЫВОЗ *;1;;;;;;000000274;;;;;;;;;;
1 721;000061;ГосЛПУ;Орел_БП;;;;07268;Департамент здравоохранения и соц. развития Орловской области;06.04.2012;Департамент здравоохранения и соц. развития Орловской области;;Орловская область;;;Носова Е.А.;50;Опт;45;2,70;2,96;;262 399,52;10 880,02;;;;;;;;;АВТО;истина ;;Автотрейдинг-М ООО;1;239 299,52;;;;;000000274;;;;;;239 299,52;;;;
1 722;000061;ГосЛПУ;Орел_БП;;;;08265;Городская больница им. С. П. Боткина Орловской области;29.07.2013;Городская больница им. С. П. Боткина Орловской области;;Орловская область;;;Зелинская Н.И.;50;ЛПУ;84;7,10;5,52;;101 033,23;10 074,73;;;;;;;;;АВТО;истина ;;ПЭК ВОСТОК ООО ( не использовать);1;101 033,23;;;;;000000274;;;;;;101 033,23;;;;
1 723;000061;ГосЛПУ;Орел_БП;;;;09059;Орловская областная психиатрическая больница, БУЗ;24.12.2014;Орловская областная психиатрическая больница, БУЗ;;Орловская область;;;Носова Е.А.;100;ЛПУ;30;1,80;1,97;;;;307 516,91;-12 879,69;;;;;;;АВТО;истина ;;ПЭК ВОСТОК ООО ( не использовать);1;;307 516,91;;;;000000274;;;;;;;307 516,91;;;
1 724;000061;ГосЛПУ;Орел_БП;;;;08452;Поликлиника №3 БУЗ Орловской области;15.10.2013;Поликлиника №3 БУЗ Орловской области;;Орловская область;;;Носова Е.А.;50;ЛПУ;45;2,70;2,96;;209 863,64;45 459,64;;;;;;;;;АВТО;истина ;;ПЭК ВОСТОК ООО ( не использовать);1;209 863,64;;;;;000000274;;;;;;209 863,64;;;;
1 725;000062;Аптечные сети;Пенза_30;;;;06062;Аптека для всей семьи ООО г.Пенза;11.11.2010;Аптека для всей семьи ООО г.Пенза;;Пензенская Область;;;Кузьмиров В.Е.;25;Опт;;;;;65 148,52;10 154,25;;;119 368,67;9 888,22;413 619,54;30 219,23;;;АВТО;ложь ;;Автотрейдинг-М ООО;1;;;;;;000000183;;;;;;;;;;
1 726;000063;ГосЛПУ;Пенза_БП;;;;08178;Спасская ЦРБ г. Пенза;24.06.2013;Спасская ЦРБ г. Пенза;;Пензенская Область;;;Носова Е.А.;100;ЛПУ;30;1,80;1,97;;13 893,90;1 408,23;;;;;;;;;АВТО;истина ;;ПЭК ВОСТОК ООО ( не использовать);1;13 893,90;;;;;000000183;;;;;;13 893,90;;;;
1 727;000063;ГосЛПУ;Пенза_БП;;;;07693;Н-Ломовская ЦРБ ГБУЗ г. Пенза;19.06.2013;Н-Ломовская ЦРБ ГБУЗ г. Пенза;;Пензенская Область;;;Носова Е.А.;;ЛПУ;30;1,80;1,97;;517 263,82;2 459,98;;;;;;;;;АВТО;истина ;;ПЭК ВОСТОК ООО ( не использовать);1;517 263,82;;;;;000000183;;;;;;517 263,82;;;;
1 728;000063;ГосЛПУ;Пенза_БП;;;;08193;Наровчатская центральная районная больница ГБУЗ г. Пенза;24.06.2013;Наровчатская центральная районная больница ГБУЗ г. Пенза;;Пензенская Область;;;Носова Е.А.;100;ЛПУ;45;2,70;2,96;;16 306,54;-1 072,20;;;;;;;;;АВТО;истина ;;ПЭК ВОСТОК ООО ( не использовать);1;16 306,54;;;;;000000183;;;;;;16 306,54;;;;
1 729;000063;ГосЛПУ;Пенза_БП;;;;08163;Пензенская городская клиническая больница №5 ГБУЗ г. Пенза;21.06.2013;Пензенская городская клиническая больница №5 ГБУЗ г. Пенза;;Пензенская Область;;;Носова Е.А.;50;ЛПУ;30;1,80;1,97;;21 683,71;346,05;;;;;;;;;АВТО;истина ;;ПЭК ВОСТОК ООО ( не использовать);1;21 683,71;;;;;000000183;;;;;;21 683,71;;;;
1 730;000063;ГосЛПУ;Пенза_БП;;;;08195;Никольская ЦРБ ГБУЗ г. Пенза;24.06.2013;Никольская ЦРБ ГБУЗ г. Пенза;;Пензенская Область;;;Носова Е.А.;100;ЛПУ;45;2,70;2,96;;15 429,37;-338,36;;;;;;;;;АВТО;истина ;;ПЭК ВОСТОК ООО ( не использовать);1;15 429,37;;;;;000000183;;;;;;15 429,37;;;;
1 731;000063;ГосЛПУ;Пенза_БП;;;;07571;Областная наркологическая больница ГБУЗ, г.Пенза;23.10.2012;Областная наркологическая больница ГБУЗ, г.Пенза;;Пензенская Область;;;Носова Е.А.;50;Опт;30;1,80;1,97;;658 918,38;40 283,64;;;;;;;;;АВТО;истина ;;Первая Экспедиционная Компания ООО (не действующий, не брать!!!);1;658 918,38;;;;;000000183;;;;;;658 918,38;;;;
1 732;000063;ГосЛПУ;Пенза_БП;;;;08580;Медико-санитарная часть № 59 Федерального медико-биологического агентства;20.12.2013;Медико-санитарная часть № 59 Федерального медико-биологического агентства;;Пензенская Область;;;Шкатова В.В;50;Опт;14;0,80;0,92;;;;348 160,52;77 348,07;;;;;;;ЖД;истина ;;Желдорэкспедиция-ООО;1;;348 160,52;;;;000000183;;;;;;;348 160,52;;;
1 733;000063;ГосЛПУ;Пенза_БП;;;;07578;Кузнецкая межрайонная больница ГБУЗ г. Пенза;22.10.2012;Кузнецкая межрайонная больница ГБУЗ г. Пенза;;Пензенская Область;;;Носова Е.А.;100;ЛПУ;21;1,30;1,38;;1 282 667,76;26 769,27;;;;;;;;;АВТО;истина ;;Первая Экспедиционная Компания ООО (не действующий, не брать!!!);1;1 282 667,76;;;;;000000183;;;;;;1 282 667,76;;;;
1 734;000063;ГосЛПУ;Пенза_БП;;;;08166;Тамалинская ЦРБ ГБУЗ г. Пенза;18.06.2013;Тамалинская ЦРБ ГБУЗ г. Пенза;;Пензенская Область;;;Носова Е.А.;100;ЛПУ;30;1,80;1,97;;43 421,62;-1 088,39;;;;;;;;;АВТО;истина ;;ПЭК ВОСТОК ООО ( не использовать);1;43 421,62;;;;;000000183;;;;;;43 421,62;;;;
1 735;000063;ГосЛПУ;Пенза_БП;;;;08161;Городская больница №3 ГБУЗ г. Пенза;20.06.2013;Городская больница №3 ГБУЗ г. Пенза;;Пензенская Область;;;Носова Е.А.;100;ЛПУ;21;1,30;1,38;;1 028 764,09;45 589,63;;;;;;;;;АВТО;истина ;;ПЭК ВОСТОК ООО ( не использовать);1;1 028 764,09;;;;;000000183;;;;;;1 028 764,09;;;;
1 736;000063;ГосЛПУ;Пенза_БП;;;;08196;Бессоновская ЦРБ ГБУЗ г. Пенза;26.06.2013;Бессоновская ЦРБ ГБУЗ г. Пенза;;Пензенская Область;;;Носова Е.А.;100;ЛПУ;30;1,80;1,97;;90 400,72;-2 226,90;;;;;;;;;АВТО;истина ;;ПЭК ВОСТОК ООО ( не использовать);1;90 400,72;;;;;000000183;;;;;;90 400,72;;;;
